Record Date,Facility Description,Form Description,Location Description,Fine Troy Ounces,Book Value,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2024-01-31,Mint Held Gold - Deep Storage,Gold Bullion,"Denver, CO",43853707.279,1851599995.81,1,2024,2,2024,1,01,31
2024-01-31,Mint Held Gold - Deep Storage,Gold Bullion,"Fort Knox, KY",147341858.382,6221097412.78,2,2024,2,2024,1,01,31
2024-01-31,Mint Held Gold - Deep Storage,Gold Bullion,"West Point, NY",54067331.379,2282841677.17,3,2024,2,2024,1,01,31
2024-01-31,Mint Held Gold - Working Stock,Gold Coins,"All Locations- Coins, blanks, miscellaneous",2783218.656,117513614.74,4,2024,2,2024,1,01,31
2024-01-31,Federal Reserve Bank Held Gold,Gold Bullion,Federal Reserve Banks - NY Vault,13376987.724,564805851.07,5,2024,2,2024,1,01,31
2024-01-31,Federal Reserve Bank Held Gold,Gold Bullion,Federal Reserve Banks - Display,1993.321,84162.40,6,2024,2,2024,1,01,31
2024-01-31,Federal Reserve Bank Held Gold,Gold Coins,Federal Reserve Banks - NY Vault,73452.066,3101307.82,7,2024,2,2024,1,01,31
2024-01-31,Federal Reserve Bank Held Gold,Gold Coins,Federal Reserve Banks - Display,377.434,15936.11,8,2024,2,2024,1,01,31
2023-12-31,Mint Held Gold - Deep Storage,Gold Bullion,"Denver, CO",43853707.279,1851599995.81,1,2024,1,2023,4,12,31
2023-12-31,Mint Held Gold - Deep Storage,Gold Bullion,"Fort Knox, KY",147341858.382,6221097412.78,2,2024,1,2023,4,12,31
2023-12-31,Mint Held Gold - Deep Storage,Gold Bullion,"West Point, NY",54067331.379,2282841677.17,3,2024,1,2023,4,12,31
2023-12-31,Mint Held Gold - Working Stock,Gold Coins,"All Locations- Coins, blanks, miscellaneous",2783218.656,117513614.74,4,2024,1,2023,4,12,31
2023-12-31,Federal Reserve Bank Held Gold,Gold Bullion,Federal Reserve Banks - NY Vault,13376987.724,564805851.07,5,2024,1,2023,4,12,31
2023-12-31,Federal Reserve Bank Held Gold,Gold Bullion,Federal Reserve Banks - Display,1993.321,84162.40,6,2024,1,2023,4,12,31
2023-12-31,Federal Reserve Bank Held Gold,Gold Coins,Federal Reserve Banks - NY Vault,73452.066,3101307.82,7,2024,1,2023,4,12,31
2023-12-31,Federal Reserve Bank Held Gold,Gold Coins,Federal Reserve Banks - Display,377.434,15936.11,8,2024,1,2023,4,12,31
2023-11-30,Mint Held Gold - Deep Storage,Gold Bullion,"Denver, CO",43853707.279,1851599995.81,1,2024,1,2023,4,11,30
2023-11-30,Mint Held Gold - Deep Storage,Gold Bullion,"Fort Knox, KY",147341858.382,6221097412.78,2,2024,1,2023,4,11,30
2023-11-30,Mint Held Gold - Deep Storage,Gold Bullion,"West Point, NY",54067331.379,2282841677.17,3,2024,1,2023,4,11,30
2023-11-30,Mint Held Gold - Working Stock,Gold Coins,"All Locations- Coins, blanks, miscellaneous",2783218.656,117513614.74,4,2024,1,2023,4,11,30
2023-11-30,Federal Reserve Bank Held Gold,Gold Bullion,Federal Reserve Banks - NY Vault,13376987.724,564805851.07,5,2024,1,2023,4,11,30
2023-11-30,Federal Reserve Bank Held Gold,Gold Bullion,Federal Reserve Banks - Display,1993.321,84162.40,6,2024,1,2023,4,11,30
2023-11-30,Federal Reserve Bank Held Gold,Gold Coins,Federal Reserve Banks - NY Vault,73452.066,3101307.82,7,2024,1,2023,4,11,30
2023-11-30,Federal Reserve Bank Held Gold,Gold Coins,Federal Reserve Banks - Display,377.434,15936.11,8,2024,1,2023,4,11,30
2023-10-31,Mint Held Gold - Deep Storage,Gold Bullion,"Denver, CO",43853707.279,1851599995.81,1,2024,1,2023,4,10,31
2023-10-31,Mint Held Gold - Deep Storage,Gold Bullion,"Fort Knox, KY",147341858.382,6221097412.78,2,2024,1,2023,4,10,31
2023-10-31,Mint Held Gold - Deep Storage,Gold Bullion,"West Point, NY",54067331.379,2282841677.17,3,2024,1,2023,4,10,31
2023-10-31,Mint Held Gold - Working Stock,Gold Coins,"All Locations- Coins, blanks, miscellaneous",2783218.656,117513614.74,4,2024,1,2023,4,10,31
2023-10-31,Federal Reserve Bank Held Gold,Gold Bullion,Federal Reserve Banks - NY Vault,13376987.724,564805851.07,5,2024,1,2023,4,10,31
2023-10-31,Federal Reserve Bank Held Gold,Gold Bullion,Federal Reserve Banks - Display,1993.321,84162.40,6,2024,1,2023,4,10,31
2023-10-31,Federal Reserve Bank Held Gold,Gold Coins,Federal Reserve Banks - NY Vault,73452.066,3101307.82,7,2024,1,2023,4,10,31
